longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,pop_density_dense,pop_density_sparse
-122.23,37.88,1.0104569378590702,-0.7965470031760153,-0.9718193542618342,-0.9774447516091406,-0.9786206885641724,2.961463925688288,2.685486072927054,0.0,0.0,1.0,0.0,0.0,1.0
-122.22,37.86,-0.5885073446527025,2.0482290841697957,1.3401403796094364,0.8384761202443614,1.661240613695056,2.9463015330152365,1.7158990116482384,0.0,0.0,1.0,0.0,1.0,0.0
-122.24,37.85,1.889887293240545,-0.5280338076024519,-0.827469770059022,-0.8254629181784001,-0.8455842000115827,2.2811948964326714,1.649954726927894,0.0,0.0,1.0,0.0,0.0,1.0
-122.25,37.85,1.889887293240545,-0.6163183846820051,-0.7209823718766195,-0.7713084717835386,-0.7360247388506267,1.252764203487042,1.5386737464623126,0.0,0.0,1.0,0.0,0.0,1.0
-122.25,37.85,1.889887293240545,-0.45484452090437666,-0.6144949736942171,-0.7651942600937962,-0.6316823948878113,0.1080035566717045,1.5479471615011111,0.0,0.0,1.0,0.0,0.0,1.0
-122.25,37.85,1.889887293240545,-0.7787071145433595,-0.7730428776546829,-0.897959999642489,-0.8038472624264567,0.22943011312059106,0.8009220611534582,0.0,0.0,1.0,0.0,0.0,1.0
-122.25,37.84,1.889887293240545,-0.03949531889279984,-0.11992016880261473,-0.3031345481118325,0.03350004787513653,-0.01119323614879178,1.1048839985362962,0.0,0.0,1.0,0.0,0.0,1.0
-122.25,37.84,1.889887293240545,0.22078408192723012,0.3486243831999559,-0.2481066429041506,0.3804383415514976,-0.3546405424530651,0.5093246771556847,0.0,0.0,1.0,0.0,0.0,1.0
-122.26,37.84,1.0904051519846587,-0.030346658055540442,0.29656387742189255,-0.2053071610759536,0.24479329439983763,-1.016944047617084,0.3578588981886434,0.0,0.0,1.0,0.0,0.0,1.0
-122.25,37.84,1.889887293240545,0.4243417855562518,0.3959521157254681,0.09603612934706621,0.5552117676892133,0.009256881700154936,0.7123094285604953,0.0,0.0,1.0,0.0,1.0,0.0
